ccn,report_year,y_true,LogisticRegression_proba,LogisticRegression_pred,RandomForest_proba,RandomForest_pred,XGBoost_proba,XGBoost_pred,SV_proba,SVM_pred
344032,2021,0,0.240429,0,0.039698,0,0.009126,0,0.000875,0
344033,2021,0,0.001705,0,0.014726,0,0.00332,0,2.4e-05,0
350002,2021,0,0.826638,1,0.123409,0,0.038982,0,0.061454,1
350006,2021,0,0.58478,1,0.44684,0,0.23062,0,0.147444,1
350011,2021,0,0.761482,1,0.077713,0,0.010943,0,0.00055,0
350015,2021,0,0.512729,1,0.199358,0,0.117195,0,0.002015,0
350019,2021,0,0.778008,1,0.692531,1,0.624812,1,0.036132,1
350063,2021,0,0.578787,1,0.230031,0,0.104458,0,0.004476,0
350064,2021,0,0.236592,0,0.094594,0,0.010415,0,0.001115,0
350070,2021,0,0.520965,1,0.148478,0,0.270675,0,0.039924,1
351300,2021,0,0.4483,0,0.487154,0,0.586786,1,0.04044,1
351301,2021,0,0.330222,0,0.282074,0,0.292472,0,0.010269,0
351302,2021,0,0.725976,1,0.469912,0,0.415591,0,0.068902,1
351303,2021,0,0.297599,0,0.400073,0,0.47539,0,0.014924,0
351304,2021,0,0.151352,0,0.22066,0,0.188448,0,0.001585,0
351305,2021,0,0.290708,0,0.056401,0,0.007492,0,0.003624,0
351306,2021,0,0.303977,0,0.288326,0,0.045105,0,0.003955,0
351307,2021,0,0.297437,0,0.320595,0,0.185344,0,0.035124,1
351308,2021,0,0.446949,0,0.258865,0,0.416588,0,0.013318,0
351309,2021,0,0.448623,0,0.061496,0,0.00597,0,0.042198,1
351310,2021,0,0.208575,0,0.303946,0,0.042832,0,7e-06,0
351311,2021,0,0.445502,0,0.30149,0,0.410682,0,0.01083,0
351312,2021,0,0.30226,0,0.223026,0,0.06789,0,0.001395,0
