Facility ID,State,Hospital_Type,Birthing_Center,Emergency_Services,Hospital_Ownership,Hospital_Rating,MORT_Participation,Safety_Participation,READM_Participation,PtExp_Participation,TE_Participation,Engagement_Index,Domains_Reporting,MORT_Better,MORT_Worse,Safety_Better,Safety_Worse,READM_Better,READM_Worse,Net_Performance_Score,Net_Performance_Rate,Performance_Ratio
010780,AL,Rural/Access,0,1,Government,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
010781,AL,Rural/Access,0,1,Government,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
011300,AL,Rural/Access,0,1,Government,,0.0,0.0,0.09090909090909091,0.0,0.25,0.06818181818181819,2,,,,,0.0,0.0,0.0,0.0,0.0
011302,AL,Rural/Access,0,1,Government,,0.0,0.0,0.09090909090909091,0.0,0.5,0.1181818181818182,2,,,,,0.0,0.0,0.0,0.0,0.0
011304,AL,Rural/Access,0,1,Non-Profit,,0.0,0.0,0.0,0.0,0.4166666666666667,0.08333333333333334,1,,,,,,,0.0,,
011305,AL,Rural/Access,0,0,Non-Profit,,0.2857142857142857,0.25,0.36363636363636365,0.0,0.75,0.32987012987012987,4,0.0,0.0,0.0,0.0,0.0,0.25,-1.0,-0.125,0.0
011306,AL,Rural/Access,0,1,Government,,0.14285714285714285,0.0,0.2727272727272727,0.0,0.5,0.1831168831168831,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
011307,AL,Rural/Access,0,1,Government,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
011308,AL,Rural/Access,0,1,Government,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
011309,AL,Rural/Access,0,1,Government,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
013300,AL,Childrens,0,1,Non-Profit,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
013301,AL,Childrens,0,1,Government,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
014000,AL,Psychiatric,0,0,For-Profit,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
014006,AL,Psychiatric,0,0,For-Profit,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
014007,AL,Psychiatric,0,0,Government,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
014012,AL,Psychiatric,0,1,Government,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
014014,AL,Psychiatric,0,1,Non-Profit,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
014015,AL,Psychiatric,0,0,For-Profit,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
014016,AL,Psychiatric,0,0,For-Profit,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
014017,AL,Psychiatric,0,0,Non-Profit,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
014018,AL,Psychiatric,0,0,For-Profit,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
020001,AK,Acute Care,1,1,Non-Profit,3.0,1.0,1.0,1.0,1.0,0.75,0.95,5,0.0,0.2857142857142857,0.25,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.11538461538461539
020006,AK,Acute Care,0,1,Non-Profit,3.0,0.8571428571428571,0.75,0.9090909090909091,1.0,0.9166666666666666,0.8865800865800866,5,0.0,0.3333333333333333,0.3333333333333333,0.0,0.1,0.0,1.0,0.045454545454545456,0.13636363636363635
020008,AK,Acute Care,1,1,Government,5.0,0.5714285714285714,0.375,0.8181818181818182,1.0,0.8333333333333334,0.7195887445887446,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
020012,AK,Acute Care,1,1,Non-Profit,3.0,0.7142857142857143,0.625,0.7272727272727273,1.0,1.0,0.8133116883116884,5,0.0,0.2,0.2,0.0,0.25,0.0,2.0,0.1111111111111111,0.16666666666666666
020017,AK,Acute Care,1,1,For-Profit,2.0,1.0,0.875,0.8181818181818182,1.0,0.75,0.8886363636363637,5,0.0,0.0,0.2857142857142857,0.0,0.0,0.3333333333333333,-1.0,-0.043478260869565216,0.08695652173913043
020018,AK,Acute Care,1,1,Government,,0.2857142857142857,0.125,0.2727272727272727,1.0,0.4166666666666667,0.420021645021645,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
020024,AK,Acute Care,1,1,Non-Profit,1.0,0.7142857142857143,0.5,0.8181818181818182,1.0,0.9166666666666666,0.7898268398268399,5,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,-2.0,-0.1111111111111111,0.0
020026,AK,Acute Care,1,1,Government,3.0,0.8571428571428571,0.875,0.6363636363636364,1.0,0.6666666666666666,0.8070346320346321,5,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.05
02013F,AK,Acute Care,0,1,Government,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
02014F,AK,Acute Care,0,1,Government,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
021301,AK,Rural/Access,1,1,Government,,0.0,0.0,0.0,0.0,0.25,0.05,1,,,,,,,0.0,,
021302,AK,Rural/Access,0,1,Government,,0.0,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667,1,,,,,,,0.0,,
021304,AK,Rural/Access,0,1,Government,,0.0,0.0,0.09090909090909091,0.0,0.16666666666666666,0.051515151515151514,2,,,,,0.0,0.0,0.0,0.0,0.0
021305,AK,Rural/Access,0,1,Government,,0.0,0.0,0.09090909090909091,0.0,0.25,0.06818181818181819,2,,,,,0.0,0.0,0.0,0.0,0.0
021306,AK,Rural/Access,0,1,Non-Profit,,0.0,0.0,0.09090909090909091,0.0,0.4166666666666667,0.10151515151515152,2,,,,,0.0,0.0,0.0,0.0,0.0
021307,AK,Rural/Access,0,1,Government,,0.0,0.0,0.0,0.0,0.16666666666666666,0.03333333333333333,1,,,,,,,0.0,,
021308,AK,Rural/Access,1,1,Government,,0.14285714285714285,0.0,0.2727272727272727,0.0,0.16666666666666666,0.11645021645021644,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
021309,AK,Rural/Access,0,1,Non-Profit,,0.0,0.0,0.09090909090909091,0.0,0.16666666666666666,0.051515151515151514,2,,,,,0.0,0.0,0.0,0.0,0.0
021310,AK,Rural/Access,0,1,Government,,0.0,0.0,0.0,0.0,0.16666666666666666,0.03333333333333333,1,,,,,,,0.0,,
021311,AK,Rural/Access,1,1,Non-Profit,,0.2857142857142857,0.25,0.36363636363636365,0.0,0.6666666666666666,0.31320346320346315,4,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.125,0.125
021312,AK,Rural/Access,0,1,Government,,0.14285714285714285,0.0,0.2727272727272727,0.0,0.16666666666666666,0.11645021645021644,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
021313,AK,Rural/Access,1,1,Non-Profit,,0.14285714285714285,0.0,0.36363636363636365,0.0,0.75,0.2512987012987013,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
021314,AK,Rural/Access,0,1,Government,3.0,0.42857142857142855,0.0,0.36363636363636365,0.0,0.25,0.20844155844155843,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
024001,AK,Psychiatric,0,1,For-Profit,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
024002,AK,Psychiatric,0,0,Government,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
030002,AZ,Acute Care,1,1,Non-Profit,3.0,1.0,0.875,0.9090909090909091,1.0,0.8333333333333334,0.9234848484848485,5,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.1,0.1,2.0,0.08333333333333333,0.16666666666666666
030006,AZ,Acute Care,1,1,Non-Profit,2.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9666666666666666,5,0.0,0.14285714285714285,0.25,0.125,0.0,0.2727272727272727,-3.0,-0.11538461538461539,0.07692307692307693
030007,AZ,Acute Care,1,1,Non-Profit,3.0,0.8571428571428571,0.375,0.8181818181818182,1.0,1.0,0.8100649350649352,5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.05555555555555555
030010,AZ,Acute Care,0,1,Non-Profit,3.0,1.0,0.75,0.7272727272727273,1.0,0.75,0.8454545454545455,5,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.047619047619047616
